REF,NomTisane,NomLatin,Provenance,OrganeProducteur,Sb,Properties,Indications,ContreIndications,Note,Description
24,Cyprès,Cupressus sempervirens,Méditerranée,Cônes;Feuilles,Pinènes;Camphrènes;Tanins,Astringente;Circulatoire;Vasoconstrictrice;Tonique veineuse;Hormon-like;Oestrogen-like,Insuffisance veineuse;Varices;Hémorroïdes;Congestion pelvienne;Metrorragies;Trouble de la ménopause,Grossesse;Allaitement;Cancers hormono-dépendants;Antécédents de cancers hormono-dépendants;Enfants de moins de 7 ans,"En décocotion: 10 grammes de noix concassées pour 1/2 litre d'eau. Faire bouillir 15 minutes puis infuser 10 minutes feu éteint. 3 tasses par jour entre les repas.
En décoction (pour usage externe): 25 grammes de noix concassées. faire bouillir 15 minutes. Utiliser en compresses chaudes sur les hémorroïdes.","Le Cyprès est une tisane méditerranéenne reconnue pour ses propriétés astringentes et circulatoires. Riche en pinènes, camphrènes et tanins, elle est parfaite pour traiter l'insuffisance veineuse, les varices, les hémorroïdes, la congestion pelvienne et les troubles de la ménopause. À éviter durant la grossesse, l'allaitement, en cas de cancers hormono-dépendants ou pour les enfants de moins de 7 ans. Préparez une décoction en faisant bouillir 10 grammes de cônes concassés dans un demi-litre d'eau pendant 15 minutes, puis laissez infuser 10 minutes à feu éteint. Consommez 3 tasses par jour entre les repas. Pour un usage externe, préparez une décoction concentrée avec 25 grammes de cônes et utilisez-la en compresses chaudes sur les hémorroïdes."
25,Églantier,Rosa canina,Europe;Asie;Afrique du Nord,Fruits;Feuilles;Fleurs,Tanins;Vitamine C;Caroténoïdes,Immunostimulante;Tonique;Astringent;Laxative douce (feuilles),"Fatigue;Renforcement du système immunitaire;Carence vitamine C (fruits);Grippes (fruits);Maladies infectieuses (fruits);Diarrhées (fruits, feuilles);Entérites;Constipation (feuilles);Ostéoarthrite (poudre)",,"En infusion: 2 cuillère à café de fleurs ou de feuilles pour 200ml d'eau. Laisser infiuser 10 minutes.
En décoction: 15 grammes de cynorrhodons (fruits) pour 1/2 litre d'eau. Faire bouillir 5 minutes puis infuser 10 minutes feu éteint. 3 à 4 tasses par jour en dehors des repas.
En décoction (usage externe): A appliquer sur les plaies, les ulcères, les brûlures.
","L'Églantier est une tisane polyvalente européenne, asiatique et nord-africaine, riche en vitamine C, flavonoïdes et tanins. Elle est idéale pour renforcer le système immunitaire, lutter contre la fatigue, traiter les carences en vitamine C, les grippes et les maladies infectieuses. Par ailleurs, ses feuilles et fleurs ont des effets laxatifs doux, parfaits pour soulager la constipation. À consommer sans contre-indications majeures, mais toujours avec modération. Préparez une infusion en laissant infuser 2 cuillères à café de fleurs ou de feuilles dans 200 ml d'eau pendant 10 minutes et buvez 3 à 4 tasses par jour. Pour une application externe, utilisez une décoction pour traiter les plaies, ulcères et brûlures."
26,Éleuthérocoque,Eleutherococcus senticosus,Asie,Racine,Éleuthérosides;Phénols;Polysaccharides;Saponosides triterpèniques,Adaptogène;Tonique;Stimulant immunitaire;Stimulant endocrinien;Stimulant nerveux;Anti-inflammatoire;Hypolipémiant;Antihyperglycémiant,Fatigue;Faiblesse;Stress;Mauvais cholestérol;Diabète;,Hypertension;Grossesse;Allaitement;Cancers hormono-dépendants;Antécédents de cancers hormono-dépendants,En décoction: 1 cuillère à café de racines pour 200ml d'eau. Faire bouillir 5 minutes puis laisser infuser 10 minutes feu éteint. Boire 1 tasse le matin et 1 le midi.,"L'Éleuthérocoque, également connu sous le nom de Ginseng sibérien, est une tisane asiatique réputée pour ses propriétés adaptogènes et stimulantes. Riche en éleuthérosides, phénols et polysaccharides, elle aide à combattre la fatigue, renforcer le système immunitaire et réguler le cholestérol et la glycémie. Contre-indiquée en cas d'hypertension, grossesse, allaitement et cancers hormono-dépendants. Préparez une décoction en faisant bouillir 1 cuillère à café de racines dans 200 ml d'eau pendant 5 minutes, puis laissez infuser 10 minutes à feu éteint. Consommez une tasse le matin et une le midi pour bénéficier de ses effets énergisants et protecteurs."
27,Eucalyptus,Eucalyptus globulus,Australie,Feuilles,Eucalyptol;Terpènes,Expectorante;Antibactérienne;Antiseptique bronchique;,Maladies des voies respiratoires;Toux grasse;Infections respiratoires;Bronchite aiguë;Bronchite chronique;Rhume;Grippe;Maux de gorge,Grossesse;Allaitement;Enfants de moins de 3 ans; Prise de traitement à base de substances iodées;Diabétiques;Inflammation des voies biliaires;Pathologies hépatiques graves,"En infusion: 1 à 2 cuillères à café de feuilles séchées pour 200ml d'eau bouillante. Laisser infuser 20 minutes. 2 à 3 bols par jour. Cette infusion peut être utlisée en inhalation pour libérer les voies respiratoires.
","L'Eucalyptus est une tisane australienne prisée pour ses puissantes propriétés expectorantes, antibactériennes et antiseptiques bronchiques. Riche en eucalyptol et terpènes, elle est parfaite pour traiter les maladies des voies respiratoires, la toux grasse, les infections respiratoires, la bronchite aiguë et chronique, ainsi que le rhume et la grippe. À éviter durant la grossesse, l'allaitement, pour les enfants de moins de 3 ans, en cas de diabète ou de pathologies hépatiques graves. Préparez une infusion en laissant infuser 1 à 2 cuillères à café de feuilles séchées dans 200 ml d'eau bouillante pendant 20 minutes et buvez 2 à 3 bols par jour. Pour un effet optimal, utilisez également l'eucalyptus en inhalation pour libérer les voies respiratoires."
28,Fenouil,Foeniculum vulgare,Méditerranée,Graines;Racines,Anéthole;Fenchone;Estragole;Flavonoïdes;Stérols;Furocoumarines,Carminative;Digestive;Galactogène;Diurétique (racines),Ballonnements;Flatulences;Digestion difficile;Lactation difficile;Engorgement des seins,"Grossesse;Nourrissons;Pour les enfants de plus de trois mois la prise est possible, mais doit être IMPERATIVEMENT conseillée par un médecin ou un pharmacien compétent;Cancers hormono-dépendants;Antécédents de cancer hormono-dépendants","En cuisine: Parsemez vos plats de feuilles séchées coupées très finement. Cela parfumera votre cuisine et aidera à la digestion, surtout en cas de plats lourds.
En infusion: 3 grammes de graines pour 200ml d'eau bouillante. Laisser infuser 10 minutes. Prendre une tasse après chaque repas.
En décoction: 10 à 15 grammes de racines pour 1/2 litre d'eau. Faire bouillir 5 minutes, puis laisser infuser 10 minutes feu éteint. Prendre une tasse avant chaque repas pour ses vertus diurétiques et apéritives.
En cataplasme ou compresses sur les seins engorgés (allaitement).","Le Fenouil est une tisane méditerranéenne réputée pour ses propriétés carminatives, digestives et galactogènes. Riche en anéthole, fenchone et flavonoïdes, elle est idéale pour soulager les ballonnements, les flatulences, faciliter la digestion et favoriser l'allaitement. À utiliser avec précaution durant la grossesse et pour les nourrissons, et uniquement sous conseil médical pour les enfants de plus de trois mois. Préparez une infusion en laissant infuser 3 grammes de graines dans 200 ml d'eau bouillante pendant 10 minutes et buvez une tasse après chaque repas. Pour un usage plus intensif, préparez une décoction avec 10 à 15 grammes de racines dans un demi-litre d'eau bouillante pendant 5 minutes, puis laissez infuser 10 minutes à feu éteint. Vous pouvez également parsemer les feuilles séchées dans vos plats pour un goût aromatique et favoriser votre digestion."
29,Fenugrec,Trigonella foenum-graecum,Méditerranée;Asie,Graines,Protéines;Galactomannane;Mucilaage;Alcaloïdes;Saponines;Tanins;Phosphore,Tonique;Anabolisante;Hypoglycémiante;Hypocholestérolémiante;Adoucissanet;Emoliente;Apéritive,Perte d'appétit;Troubles de la nutrition;Faiblesse musculaire;Cholestérol;Diabète;Convalescence;Abcès;Lymphagites;Panaris;Furoncles;Cellulite,Diabète (avis du médecin);Traitement anticoagulant;Grossesse,"En décoction: 20 à 30 grammes de racines pour 1/2 litre d'eau. Faire bouillir 3 minutes puis laisser infuser 10 minutes feu éteint. 3 tasses par jour avant les repas pour ouvrir l'appétit. Cette décoction peut être utilisée en gargarisme contre les angines.
En compresses de décoction concentrée, sur les affections cutanée (abcès, furoncle...)","Le Fenugrec est une tisane méditerranéenne et asiatique aux multiples vertus tonifiantes et hypoglycémiantes. Riche en protéines, galactomannane, mucilage et autres composés actifs, elle est idéale pour stimuler l'appétit, réguler le cholestérol, gérer le diabète et favoriser la convalescence. Contre-indiquée en cas de diabète sans avis médical, traitement anticoagulant ou durant la grossesse. Préparez une décoction en faisant bouillir 20 à 30 grammes de racines dans un demi-litre d'eau pendant 3 minutes, puis laissez infuser 10 minutes à feu éteint. Consommez 3 tasses par jour avant les repas pour ouvrir l'appétit. Vous pouvez également utiliser cette décoction en gargarisme pour traiter les angines ou en compresses pour les affections cutanées telles que les abcès et furoncles."
30,Hibiscus,Hibiscus sabdariffa,Régions subtropicales,Fleurs,Mucilages;Pectines;Anthocyanines;Acides organiques;Vitamine C,Tonique;Stimulante;Diurétique;Antiseptique;Anti-inflammatoire;Emolient;Laxatif doux;AntispasmodiqueHypotensive;Hypocholestérolémiante,Hypertension (avis médical);Cholestérol élevé;Affections des voies respiratoires;Constipation;Maux d'estomac;Spasmes utérins;Abcès;Eczéma suintant,Hypotension;Diabétique;Grossesse;Allaitement;Enfants moins de 12 ans,"En infusion: 1 cuillère à soupe de fleurs pour 200ml d'eau frémissante. Laisser infuser 10 minutes. Peut être infusé à froid. Laisser macérer 3 heures dans l'eau froide.
En décoction: 15 grammes de fleurs pour 1 litre d'eau. Faire bouillir 20 minutes. Appliquer localement en compresses 2 à 3 fois par jour sur les affections cutanées (abcès, eczéma).","L'Hibiscus est une tisane subtropicale reconnue pour ses propriétés toniques, stimulantes et diurétiques. Riche en mucilages, pectines, anthocyanines et vitamine C, elle est idéale pour lutter contre l'hypertension, réduire le cholestérol, traiter les affections des voies respiratoires, soulager la constipation et les maux d'estomac, ainsi que pour apaiser les spasmes utérins et les affections cutanées comme l'eczéma. À éviter en cas d'hypotension, diabète, grossesse, allaitement et pour les enfants de moins de 12 ans. Préparez une infusion en laissant infuser 1 cuillère à soupe de fleurs dans 200 ml d'eau frémissante pendant 10 minutes. Vous pouvez également infuser les fleurs à froid en laissant macérer 3 heures dans l'eau froide. Pour un usage externe, préparez une décoction en faisant bouillir 15 grammes de fleurs dans un litre d'eau pendant 20 minutes et appliquez-la en compresses 2 à 3 fois par jour sur les affections cutanées telles que les abcès et l'eczéma."
31,Sureau,Sambucus nigra,Europe;Asie,Fleurs;Baies;Seconde écorce,Acides phénoliques;Nitrate de potasse;Sambucine;Sambunigrine,Anti-inflammatoire majeur;Baies:;Purgatives;Antirhumatismales;Antinévralgiques;Seconde écorce:;Diurétique;Laxative;Antirhumatismale;Antigoutteuse;Fleurs:;Sudorifiques;Diurétiques;Dépuratives,Baies:; Constipation;Névralgie;Rhumatismes;Seconde écorce:;Rhumatisme;Goutte;Rétention liquidienne de tout le corps;Néphrites;Fleurs:;Grippe;Rhume;Fièvre;Infections respiratoires;Fièvres éruptives;Affections rénales;Cystites;Dermatoses;Furoncles;Rhumatisme;Consitpation;Inflammations occulaires,Baies:;Diabétiques;Grossesses;Allaitement;Enfants de moins de 12 ans,"En infusion: 1 cuillère à café de fleurs séchées pour 200ml d'eau frémissante. Laisser infuser 10 minutes. Prendre 3 à 4 tasses par jour pour transpirer en début de grippe,rhume etc. ou contre les rhumatisme.
En décoction concentrée: 45 grammes de seconde écorce pour 1 litre d'eau. Faire bouillir 20 minutes. Boire tout au long de la journée comme diurétique.
En décoction (usage externe): 50 grammes de fleurs pour 1/2 litre d'eau. Faire bouillir 5 minutes puis infuser 10 minutes feu éteint. Imbibez des compresses pour les gingivites, dartres, eczéma, inflammation des paupières; conjonctivites, orgelets.
En bain contre les rhumatismes en ajoutant dans le bain la déconction concentrée de fleurs ci-dessus. On peut y ajouter de la sauge et du romarin en décoction pour créer une synergie antirhumatismale.","Découvrez les multiples vertus du Sureau, une tisane européenne et asiatique reconnue pour ses propriétés anti-inflammatoires majeures. Riche en acides phénoliques, nitrate de potasse, sambucine et sambunigrine, cette infusion est idéale pour traiter la grippe, le rhume, les fièvres éruptives et les infections respiratoires grâce à ses fleurs sudorifiques, diurétiques et dépuratives. Les baies, quant à elles, offrent des effets purgatifs, antirhumatismaux et antinévralgiques, efficaces contre la constipation, les névralgies et les rhumatismes. La seconde écorce, diurétique et laxative, est particulièrement bénéfique pour la rétention liquidienne, la goutte et les néphrites. À consommer avec précaution chez les diabétiques, les femmes enceintes ou allaitantes, et les enfants de moins de 12 ans."
32,Framboisier,Rubus idaeus,Hémisphère nord,Feuilles,Flavonoïdes;Tanins;Polypeptides,Tonique;Astringente;Diurétique;Laxative;Antioxydante;Digestive;Utérotonique,Troubles menstruels;Diarrhée;Maux de gorge;Aphtes;Yeux irrités,Grossesse INTERDIT avant le 8e mois puis sous contrôle médical,"En infusion: 1 cuillère à café de feuilles, ou 3 feuilles entières pour 200ml d'eau. Laisser infuser 10 minutes. 3 à 4 tasse par jour, pour les règles douloureuses, la diarrhée ou comme diurétique. Pour la préparation à l'accouchement, à partir du 8e mois, 1 tasse matin et soir, SOUS STRICT AVIS MEDICAL.
La même infusion peut être employée par voie externe. 
En gargarisme contre les maux de gorge, angine.
En bain de bouche contre les aphtes.
En compresses tièdes sur les yeux irrités
","Le Framboisier est une tisane précieuse connue pour ses propriétés toniques, astringentes et diurétiques. Riche en flavonoïdes, tanins et polypeptides, elle est idéale pour soulager les troubles menstruels, la diarrhée, les maux de gorge et les aphtes. Elle apaise également les yeux irrités grâce à ses effets anti-inflammatoires. Contre-indications : Interdite pendant la avant le 8e mois, puis sous contrôle médical."
33,Frêne,Fraxinus excelsior,Europe;Asis;Afrique du Nord,Feuilles,Coumarines;Flavonoïdes;Tanins;Inidoïde;Excelsioside,Anti-inflammatoire;Diurétique;Antirhumatismale;Tonique;Laxative légère,Douleurs articulaires;Rhumatismes;Goutte,Insuffisance rénale,"En infusion: 4 grammes de feuilles séchées pour 200ml d'eau bouillante. 3 tasses par jour.
En décoction: 15 grammes d'écorce (tonique et fébrifuge) pour 1/2 litre d'eau. Faire bouillir 10 minutes. 3 tasses par jour avant les repas. 
En décoction concentrée (usage externe): 50 gr de feuilles pour 1/2 litre d'eau. Faire bouillir 15 minutes. En compresse contre la goutte et les rhumatismes.","Le Frêne est une tisane réputée pour ses propriétés anti-inflammatoires, diurétiques et tonifiantes. Composée de coumarines, flavonoïdes, tanins et iridoïdes, elle est parfaite pour soulager les douleurs articulaires, les rhumatismes et la goutte. Contre-indications : Insuffisance rénale."
34,Fumeterre,Fumaria officinalis,Europe,Plante entière,Alcaloïdes;Flavonoïdes;Tanins,Hépatoprotectrice;Digestive;Dépurative;Apéritive;Tonique;Calmante;Sédative;Régulatrice biliaire;Laxative;Antispasmodique biliaire,Troubles hépatiques;Digestion difficile;Constipation;Spasmes biliaires;Migraine d'origine hépatique;Lithiase biliaire;Affections cutanées;Dartres,Grossesse,"En infusion: 4 grammes pour 200ml d'eau frémissante. Laisser infuser 10 minutes. 2 à 3 tasses par jour, 30 minutes avant les repas.
Très amer, elle est apéritive et prépare à une bonne digestion.
En décoction (usage externe): 20 grammes pour 1/2 litre d'eau. Faire bouillir 5 minutes, filtrer et laisser tiédir. En compresse ou lavage contre les dermatoses (eczéma, psoriasis, dartres...)","La Fumeterre est une tisane européenne connue pour ses propriétés hépatoprotectrices, digestives et dépuratives. Riche en alcaloïdes, flavonoïdes et tanins, elle est idéale pour traiter les troubles hépatiques, la digestion difficile, la constipation et les spasmes biliaires. Elle aide également à soulager les affections cutanées telles que les dartres. Contre-indications : Grossesse. "
35,Gingembre,Zingiber officinale,Asie du Sud-Est,Rhizome,Zingibérène;Gingérols,Anti-nauséeuse;Anti-vomitive;Digestive;Apéritive;Stomachique;Carminative;Antiseptique;Fébrifuge,Nausées;Vomissements;Digestion difficile;Troubles digestifs;Infections gastro-intestinales;Affections respiratoires;Rhume;Grippe;Hypertenseur;Mal des transports,Ulceres gastriques;Hémorragie;Calculs;Prise d'anticoagulants;Prise d'anti-inflammatoire;Hypertension,"En décoction: 1 cuillère à café pour 200ml d'eau bouillante. Faire bouillir 3 minutes puis laisser infuser 10 minutes feu éteint.
En cuisine: la racine fraîche ou confite peut être ajoutée dans les plats, râpée ou en très petits morceaux.","Le Gingembre est une tisane asiatique réputée pour ses propriétés anti-nauséeuses, digestives et stimulantes. Riche en zingibérène et gingérols, elle est parfaite pour soulager les nausées, vomissements, troubles digestifs et infections gastro-intestinales. Elle aide également à combattre les affections respiratoires comme le rhume et la grippe. Contre-indications : Ulcères gastriques, hémorragie, calculs, prise d'anticoagulants, prise d'anti-inflammatoires, hypertension."
36,Ginkgo,Ginkgo biloba,Asie,Feuilles,Flavonoïdes;Ginkgolides;Terpènes,Cognitive;circulatoire;Antispasmodique;Vaso-dilatatrice;Anti-inflammatoire,Troubles de la mémoire;Troubles cognitifs (liés à l'âge ou aux AVC);Insuffisance veineuse;Stimulation de la microcirculation;Vieillissement cellulaire;Affections auto-immunes;Scléroses;Transplantations d'organes (en cas d'inflammation),Grossesse;Troubles hémorragiques;Prise d'anticoagulants;Prise d'aspirine,En infusion: 1 cuillère à soupe de feuilles pour 200ml d'eau. Faire infuser 10 minutes. 3 à 4 tasses par jour.,"Le Ginkgo est une tisane asiatique reconnue pour ses effets cognitifs et circulatoires. Riche en flavonoïdes, ginkgolides et terpènes, elle améliore la mémoire, stimule la microcirculation et combat le vieillissement cellulaire. Elle est également bénéfique pour les affections auto-immunes et les transplantations d'organes en cas d'inflammation. Contre-indications : Grossesse, troubles hémorragiques, prise d'anticoagulants, prise d'aspirine."
37,Ginseng,Panax ginseng,Asie,Racine,Ginsénosides;PolysaccharidesStérols;Glycopeptides;Panaxanes;Saponosides triterpéniques,Tonique;Adaptogène;Fortifiant;Stimulant;Immunostimulant;Aphrodisiaque,Fatigue;Faiblesse;Stress;Froid;Baisse immunitaire;Convalescence;Ménopause;Baisse de libido,Enfants de moins de 12 ans;Cancers hormono-dépendants;Antécédents de cancer hormono-dépendant;Hypertension artérielle;Insomnie;Prise d'antidépresseurs,"En cure de 3 mois maximum!
En décoction: Faire macérer 15 grammes de racine dans 1/2 litre d'eau, toute une nuit. Au matin faire bouillir 2 minutes. Prendre 2 à 3 tasses par jour.
En poudre: 1 gramme par jour, le matin. Alterner 10 jours de prise, 10 jours d'arrêt, puis 10 jours de prise etc.","Le Ginseng est une tisane asiatique prisée pour ses propriétés toniques, adaptogènes et immunostimulantes. Riche en ginsénosides, polysaccharides et saponines triterpéniques, elle aide à combattre la fatigue, renforcer le système immunitaire et améliorer la libido. Contre-indications : Enfants de moins de 12 ans, cancers hormono-dépendants, hypertension artérielle, insomnie, prise d'antidépresseurs. "
38,Griffe de chat,Uncaria tomentosa,Amérique du Sud,Écorce,Alcaloïdes oxindoles pentacycliques et tétracycliques;Glucosides triterpéniques;Tanins;Flavonoïdes;Proanthocyanines,Immunostimulante;Anti-inflammatoire;Antioxydant,Arthrite;Infections;Fatigue chronique;Douleurs articulaires;Douleurs musculaires;Maladies inflammatoires chroniques,Grossesse;Allaitement;Maladies auto-immunes,En décoction (amère): Une lamelle d'écorce ou 4 cuillères à soupe pour 1 litre d'eau. Faire bouillir 30 minutes puis infuser 15 minutes feu éteint. A boire dans la journée. ,"La Griffe de chat est une tisane sud-américaine reconnue pour ses propriétés immunostimulantes, anti-inflammatoires et antioxydantes. Riche en alcaloïdes oxindoles pentacycliques et tétracycliques, glucosides triterpéniques, tanins et flavonoïdes, elle est idéale pour traiter l'arthrite, les infections, la fatigue chronique, et les douleurs articulaires et musculaires. Contre-indications : Grossesse, allaitement, maladies auto-immunes."
39,Guarana,Paullinia cupana,Amérique du Sud,Graines,Caféine;Saponines;Tanins,Stimulante;Tonique;Antidiarrhéique;Lipolyse;,Fatigue;Faiblesse;Diarrhée;Régimes amaigrissants,Hypertension;Insomnie;Anxiété;Troubles cardio-vasculaires;Ulcères gastriques;Femmes enceintes;Femmes allaitantes;Enfants;Personnes sensibles à la caféine;Les cure doivent être de très courtes durée et adaptées au cas par cas (risque de constipastion et de malabsorption des nutriments dus aux tanins),"En décoction: 1 cuillère à soupe pour 200ml d'eau. Faire bouillir pendant 3 minutes, puis infuser 10 minutes feu éteint. Boire une à deux tasses par jour, à bonne distance des repas et avant 17h.","Le Guarana est une tisane sud-américaine célèbre pour ses effets stimulants et toniques. Riche en caféine, saponines et tanins, elle est parfaite pour combattre la fatigue, favoriser la lipolyse et agir comme antidiarrhéique. Contre-indications : Hypertension, insomnie, anxiété, troubles cardio-vasculaires, ulcères gastriques, femmes enceintes et allaitantes, enfants, personnes sensibles à la caféine."
40,Gui,Viscum album,Europe,Feuilles,Lectines;Triterpènes;Stérols;Amines;Acides-phénols;Lignanes;Flavonoïdes;Glycoprotéines;Polypeptides;Viscotoxines;Alcaloïdes;Glucosides;Inosite;Saponines,Hypotensive;Régulatrice cardiaque;Immunostimulante;Anxiolytique;Sédative;Antispasmodique,Hypertension atérielle;Artériosclérose;Arythmie;Maux de tête;Angoisse;Crises nerveuses;Hyperactivité chez l'enfant;Soins pallatiatifs en cas de cancers;Maladies articulaires inflammatoires dégénératives;Goutte,"Grossesse;Allaitement;Enfants de moins de 3 ans; Il ne faut pas dépasser les doses prescrites, et toujours sous contrôle médical!","Les baies de gui sont toxiques pour l'hommes, seules les feuilles doivent être employées, sans dépasser les doses conseillées et toujours sous contrôle médical strict!
En infusion:10 grammes de feuilles pour 1/2 litre d'eau. Laisser macérer toute la nuit puis au matin porter à ébulition et couper le feu. 2 à 3 tasses par jour.
En cataplasme de feuilles contre les douleurs de goutte ou de sciatique.","Le Gui est une tisane européenne reconnue pour ses propriétés hypotensives, régulatrices cardiaques et immunostimulantes. Riche en lectines, triterpènes, stérols, amines, acides phénoliques, lignanes, flavonoïdes et glycoprotéines, elle agit comme anxiolytique, sédative et antispasmodique. Indications : Hypertension artérielle, artériosclérose, arythmie, maux de tête, angoisse, crises nerveuses, hyperactivité chez l'enfant, soins palliatifs en cas de cancers, maladies articulaires inflammatoires dégénératives et goutte. Contre-indications : Grossesse, allaitement, enfants de moins de 3 ans, prise d'anticoagulants, antécédents de cancers hormono-dépendants"
41,Guimauve,Althaea officinalis,Hémisphère Nord,Racine;Feuilles;Fleurs,Mucilages;Flavonoïdes;Acides phénoliques;Hydrate de carbone (racines);Pectine (racines);Asparagine (racines),Adoucissante;Emolliente;Anti-inflammatoire;Laxative douce,Maux de gorge;Toux sèche;Constipation;Inflammation des voies respiratoires;Inflammation de la vessie;Inflammation de l'intestin;Inflammation de la cavité buccale;Inflammation des muqueuses;Inflammations cutanées,Pas de contre-indication connue.,"En infusion: 4 grammes de feuilles et/ou fleurs pour 200ml d'eau frémissante. Laisser infuser 10 minutes. Prendre 3 tasses par jour.
En décoction:10 grammes de racines pour 1/2 litre d'eau. Faire bouillir 5 minutes, puis laisser infuser 10 minutes feu éteint. Prendre 3 tasses par jour.
En décoction concentrée (usage externe): 30 grammes de racines/feuilles et/ou fleurs. Faire bouillir 15 minutes. A employer pour des gargarismes, bains de bouche, lavements, compresses ou encore bains de siège. A pulvériser en spray adoucissant ou en compresses pour les peaux sèches, dartreuses, couperoses et autres affections cutanées ou des muqueuses.
","Découvrez les vertus apaisantes de la Guimauve, une tisane traditionnelle de l'hémisphère nord reconnue pour ses propriétés adoucissantes, émollientes et anti-inflammatoires. Riche en mucilages, flavonoïdes, acides phénoliques, hydrates de carbone, pectine, asparagine et autres composés bénéfiques, cette infusion est idéale pour soulager les maux de gorge, la toux sèche, et les inflammations des voies respiratoires, de la vessie, de l'intestin et des muqueuses. Elle est également efficace contre la constipation et les inflammations cutanées."
42,Hysope,Hyssopus officinalis,Méditerranée,Feuilles;Fleurs,Flavonoïdes;Marrubiine;Pinocamphone;Isopinocamphone,Expectorante;Antibactérienne;Digestive,Toux;Infections respiratoires;Affections des bronches;Asthme;Affections de la gorge;Ecchymoses;Entorses,"Grossesse;Epilepsie;Personnes nerveuses, à doses réduites","En infusion:3 à 4 grammes de feuilles et sommités fleuries pour 200ml d'eau. Faire infuser 10 minutes. 2 à 3 tasses par jour.
En décoction concentrée (usage externe): 20 grammes de feuilles et sommités fleuries pour 1/2 litre d'eau. Faire bouillir 2 minutes, puis laisser infuser 10 minutes feu éteint. A employer en gargarisme pour les affections de la gorge ou en compresses pour les ecchymoses ou entorses.","L'Hysope est une tisane méditerranéenne prisée pour ses propriétés expectorantes, antibactériennes et digestives. Riche en flavonoïdes, marrubiine, pinocamphone et isopinocamphone, elle est idéale pour traiter la toux, les infections respiratoires, les affections des bronches, l'asthme et les inflammations de la gorge. Elle est également bénéfique pour soulager les ecchymoses et les entorses grâce à ses effets anti-inflammatoires."
43,Lapacho,Tabebuia impetiginosa,Amérique du Sud,Écorce,Naphthoquinones;Lapachonone;Bêta-lapachone,Antibactérienne;Anti-inflammatoire;Tonique,Infections virales;Infections bactériennes;Affections ORL,Période d'opération;Prise d'anticoagulants;Maladies auto-immunes,"En décoction: 4 cuillères à soupe d'écorce pour 1 litre d'eau. Faire bouillir 5 minutes, puis laisser infuser 15 minutes feu éteint. Prendre 3 à 4 tasses par jour, en dehors des repas et avant 17h en raison de son effet tonique.","Le Lapacho est une tisane sud-américaine réputée pour ses propriétés antibactériennes, anti-inflammatoires et toniques. Riche en naphthoquinones, lapachonone et bêta-lapachone, elle est idéale pour combattre les infections virales et bactériennes, ainsi que les affections ORL (oto-rhino-laryngologiques). Cette infusion soutient également le système immunitaire et favorise la récupération en renforçant l'organisme."
44,Lavande,Lavandula angustifolia,Méditerranée,Fleurs,Linalol;Acétate de linalyle,Sédative;Calmante;Digestive;Antispasmodique;Antiseptique;Diurétique;Sudorifique,Anxiété;Insomnie;Irritabilité;Dépression légère;Maux de tête;Coliques;Flatulences;Ballonements;Toux quinteuses;Affections des bronches;Rhumatismes,,"En infusion: 3 grammes de fleurs pour 200ml d'eau frémissante. Laisser infuser 10 minutes. Prendre 3 ou 4 tasses par jour en dehors des repas.
Cette même infusion peut servir en inhalation contre les affections des bronches et du larynx, en compresses sur les coupures et les contusions, ou en bain calmant pour les enfants.
","La Lavande est une tisane méditerranéenne appréciée pour ses propriétés sédatives, calmantes et digestives. Riche en linalol et acétate de linalyle, elle aide à réduire l'anxiété, l'insomnie, l'irritabilité et les symptômes de la dépression légère. Elle est également efficace contre les maux de tête, les coliques, les flatulences, les ballonnements, les toux quinteuses et les affections des bronches. Ses propriétés antiseptiques en font un allié pour traiter les affections cutanées telles que les contusions."
45,Lierre terrestre,Glechoma hederacea,Hémisphère Nord,Feuilles,Flavonoïdes;Sesquiterpènes;Acide ursolique;Marrubiine;Tanins,Expectorante;Digestive;Stimulant des bronches,"Toux grasse;Digestion lente;Acidité gastrique;Irritation des muqueuses dues à la bronchite chronique, la grippe et l'asthme;Sinusite","Grossesse;Prise d'anticoagulants (avis médical);La prise prolongée peut provoquer des diarrhées, notamment chez les personnes sensibles","En infusion: 3 grammes de feuilles séchées pour 200ml d'eau bouillante. Laisser infuser 10 minutes. 2 à 3 tasses par jour, entre les repas.","Le Lierre terrestre, répandue dans l'Hémisphère Nord, est une plante reconnue pour ses propriétés expectorantes, digestives et stimulantes des bronches. Riche en flavonoïdes, sesquiterpènes, acide ursolique, marrubiine et tanins, elle est idéale pour traiter la toux grasse, la digestion lente, l'acidité gastrique et les irritations des muqueuses dues à la bronchite chronique, la grippe et l'asthme. Elle aide également à soulager la sinusite grâce à ses effets anti-inflammatoires."
